id,client,term,campaign,status,cost,clicks,conversions,source_sha256,jev,jev_probability,luna,disposition,apply
Omega-27,Omega,colorado springs concrete,Search | High Intent | Colorado Springs | 2026-07-30,NONE,7.72,1,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.94,buyer,retain_candidate,False
Omega-28,Omega,all do landscape,Search | High Intent | Colorado Springs | 2026-07-30,EXCLUDED,7.67,1,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,review,0.5700000000000001,review,already_excluded; no_duplicate_change,False
Omega-29,Omega,backyard designer,Search | High Intent | Colorado Springs | 2026-07-30,NONE,7.65,1,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.86,review,review_required,False
Omega-30,Omega,concrete contractors in colorado springs,Search | High Intent | Colorado Springs | 2026-07-30,NONE,7.64,1,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.99,buyer,retain_candidate,False
Omega-31,Omega,how much is a concrete driveway,Search | High Intent | Colorado Springs | 2026-07-30,NONE,7.63,1,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.99,buyer,retain_candidate,False
Omega-32,Omega,landscape design colorado springs,Search | High Intent | Colorado Springs | 2026-07-30,NONE,7.55,1,1,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.99,buyer,retain_candidate,False
Omega-33,Omega,landscaping fountain co,Search | High Intent | Colorado Springs | 2026-07-30,NONE,7.39,1,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,review,0.38,buyer,review_required,False
Omega-34,Omega,concrete companies in colorado springs,Search | High Intent | Colorado Springs | 2026-07-30,NONE,7.25,1,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.89,buyer,review_required,False
Omega-35,Omega,pikes peak landscaping,Search | High Intent | Colorado Springs | 2026-07-30,NONE,7.17,1,1,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,competitor,0.53,competitor,review_required,False
Omega-36,Omega,hydroseeding colorado springs,Search | High Intent | Colorado Springs | 2026-07-30,NONE,7.1,1,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,irrelevant,0.44,review,review_required,False
Omega-37,Omega,719 landscape design,Search | High Intent | Colorado Springs | 2026-07-30,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.9,buyer,retain_candidate,False
Omega-38,Omega,abc landscaping colorado springs,Search | High Intent | Colorado Springs | 2026-07-30,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,competitor,0.79,review,review_required,False
Omega-39,Omega,abc landscaping monument co,Search | High Intent | Colorado Springs | 2026-07-30,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,competitor,0.75,competitor,review_required,False
Omega-40,Omega,affordable services colorado springs,Search | High Intent | Colorado Springs | 2026-07-30,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.9,review,review_required,False
Omega-41,Omega,all purpose landscaping colorado springs,Search | High Intent | Colorado Springs | 2026-07-30,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.92,buyer,retain_candidate,False
Omega-42,Omega,alpine landscaping colorado springs,Search | High Intent | Colorado Springs | 2026-07-30,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.52,competitor,review_required,False
Omega-43,Omega,anderson landscaping colorado springs,Search | High Intent | Colorado Springs | 2026-07-30,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,competitor,0.98,competitor,review_required,False
Omega-44,Omega,araco concrete colorado springs,Search_Services_Call Only,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,competitor,0.9,competitor,review_required,False
Omega-45,Omega,archadeck colorado springs,Search | High Intent | Colorado Springs | 2026-07-30,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,competitor,0.93,competitor,review_required,False
Omega-46,Omega,average cost for concrete patio,Search | High Intent | Colorado Springs | 2026-07-30,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.99,buyer,retain_candidate,False
Omega-47,Omega,average driveway concrete cost,Search | High Intent | Colorado Springs | 2026-07-30,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.99,buyer,retain_candidate,False
Omega-48,Omega,average price of a concrete patio,Search | High Intent | Colorado Springs | 2026-07-30,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.98,buyer,retain_candidate,False
Omega-49,Omega,backyard contractor,Search | High Intent | Colorado Springs | 2026-07-30,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.82,buyer,review_required,False
Omega-50,Omega,backyard landscape design,Search | High Intent | Colorado Springs | 2026-07-30,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.96,buyer,retain_candidate,False
Omega-51,Omega,backyard landscape design plans,Search | High Intent | Colorado Springs | 2026-07-30,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.95,buyer,retain_candidate,False
Omega-52,Omega,backyard paradiso,Search | High Intent | Colorado Springs | 2026-07-30,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,review,0.49,review,review_required,False
Omega-53,Omega,backyard paradiso colorado springs,Search | High Intent | Colorado Springs | 2026-07-30,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,competitor,0.61,review,review_required,False
Omega-54,Omega,backyard planner,Search | High Intent | Colorado Springs | 2026-07-30,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.47,review,review_required,False
Omega-55,Omega,bella giardino landscape and garden design,Search | High Intent | Colorado Springs | 2026-07-30,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,competitor,0.89,review,review_required,False
Omega-56,Omega,belmire landscape,Search | High Intent | Colorado Springs | 2026-07-30,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,competitor,0.88,review,review_required,False
Omega-57,Omega,best concrete driveway contractors near me,Search | High Intent | Colorado Springs | 2026-07-30,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.98,buyer,retain_candidate,False
Omega-58,Omega,best landscapers colorado springs,Search | High Intent | Colorado Springs | 2026-07-30,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.96,buyer,retain_candidate,False
Omega-59,Omega,blue planet earthscapes,Search | High Intent | Colorado Springs | 2026-07-30,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,competitor,0.83,competitor,review_required,False
Omega-60,Omega,boulder co landscape design,Search | High Intent | Colorado Springs | 2026-07-30,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,review,0.51,buyer,review_required,False
Omega-61,Omega,boulder retaining wall,Search | High Intent | Colorado Springs | 2026-07-30,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.76,buyer,review_required,False
Omega-62,Omega,boulder retaining walls,Search | High Intent | Colorado Springs | 2026-07-30,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.72,buyer,review_required,False
Omega-63,Omega,boulders landscape design,Search | High Intent | Colorado Springs | 2026-07-30,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.82,buyer,review_required,False
Omega-64,Omega,building a retaining wall on a slope,Search | High Intent | Colorado Springs | 2026-07-30,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.99,buyer,retain_candidate,False
Omega-65,Omega,building a rock retaining wall,Search | High Intent | Colorado Springs | 2026-07-30,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.98,buyer,retain_candidate,False
Omega-66,Omega,c and c landscape,Search | High Intent | Colorado Springs | 2026-07-30,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,competitor,0.64,review,review_required,False
Omega-67,Omega,canyon creek landscape,Search | High Intent | Colorado Springs | 2026-07-30,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,competitor,0.67,review,review_required,False
Omega-68,Omega,castle concrete colorado springs,Search | High Intent | Colorado Springs | 2026-07-30,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,competitor,0.88,competitor,review_required,False
Omega-69,Omega,castle rock hardscaping,Search | High Intent | Colorado Springs | 2026-07-30,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.58,buyer,review_required,False
Omega-70,Omega,cement driveway cost,Search | High Intent | Colorado Springs | 2026-07-30,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.99,buyer,retain_candidate,False
Omega-71,Omega,chaney landscaping,Search | High Intent | Colorado Springs | 2026-07-30,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,competitor,0.91,competitor,review_required,False
Omega-72,Omega,christian brothers landscaping colorado springs,Search | High Intent | Colorado Springs | 2026-07-30,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,competitor,0.99,competitor,review_required,False
Omega-73,Omega,clean scapes landscaping,Search | High Intent | Colorado Springs | 2026-07-30,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,competitor,0.87,competitor,review_required,False
Omega-74,Omega,cn landscaping colorado springs,Search | High Intent | Colorado Springs | 2026-07-30,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.42,competitor,review_required,False
Omega-75,Omega,co hardscape pros,Search | High Intent | Colorado Springs | 2026-07-30,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.89,review,review_required,False
Omega-76,Omega,colorado designscapes,Search | High Intent | Colorado Springs | 2026-07-30,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,competitor,0.53,review,review_required,False
Omega-77,Omega,colorado hardscape pros,Search | High Intent | Colorado Springs | 2026-07-30,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.96,review,review_required,False
Omega-78,Omega,colorado landscaping,Search | High Intent | Colorado Springs | 2026-07-30,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.89,buyer,review_required,False
Omega-79,Omega,colorado native landscape design,Search | High Intent | Colorado Springs | 2026-07-30,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.88,buyer,review_required,False
Omega-80,Omega,colorado native landscaping,Search | High Intent | Colorado Springs | 2026-07-30,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.64,buyer,review_required,False
Omega-81,Omega,colorado springs backyard landscaping,Search | High Intent | Colorado Springs | 2026-07-30,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.97,buyer,retain_candidate,False
Omega-82,Omega,colorado springs landscape architect,Search | High Intent | Colorado Springs | 2026-07-30,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.81,buyer,review_required,False
Omega-83,Omega,colorado springs landscape design,Search | High Intent | Colorado Springs | 2026-07-30,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.97,buyer,retain_candidate,False
Omega-84,Omega,colorado springs landscapers,Search | High Intent | Colorado Springs | 2026-07-30,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.97,buyer,retain_candidate,False
Omega-85,Omega,colorado springs landscaping,Search | High Intent | Colorado Springs | 2026-07-30,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.91,buyer,retain_candidate,False
Omega-86,Omega,colorado springs landscaping companies,Search | High Intent | Colorado Springs | 2026-07-30,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.91,buyer,retain_candidate,False
Omega-87,Omega,colorado springs pergola,Search | High Intent | Colorado Springs | 2026-07-30,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.62,review,review_required,False
Omega-88,Omega,colorado springs sidewalk repair,Search | High Intent | Colorado Springs | 2026-07-30,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.72,buyer,review_required,False
Omega-89,Omega,colorado xeriscape,Search | High Intent | Colorado Springs | 2026-07-30,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,review,0.38,buyer,review_required,False
Omega-90,Omega,commercial concrete colorado springs,Search_Services_Call Only,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.9,buyer,retain_candidate,False
Omega-91,Omega,concrete backyard cost,Search | High Intent | Colorado Springs | 2026-07-30,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.95,buyer,retain_candidate,False
Omega-92,Omega,concrete colorado springs,Search_Services_Call Only,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.95,buyer,retain_candidate,False
Omega-93,Omega,concrete colorado springs,Search | High Intent | Colorado Springs | 2026-07-30,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.93,buyer,retain_candidate,False
Omega-94,Omega,concrete company colorado springs,Search | High Intent | Colorado Springs | 2026-07-30,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.96,buyer,retain_candidate,False
Omega-95,Omega,concrete construction colorado springs,Search | High Intent | Colorado Springs | 2026-07-30,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.98,buyer,retain_candidate,False
Omega-96,Omega,concrete contractors,Search_Concrete Services_Call Only,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.97,buyer,retain_candidate,False
Omega-97,Omega,concrete contractors colorado springs,Search | High Intent | Colorado Springs | 2026-07-30,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,1,buyer,retain_candidate,False
Omega-98,Omega,concrete contractors near me,Search_Concrete Services_Call Only,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.98,buyer,retain_candidate,False
Omega-99,Omega,concrete cost per square foot driveway,Search | High Intent | Colorado Springs | 2026-07-30,NONE,0,0,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.98,buyer,retain_candidate,False
Nexla-0,Nexla,nexla,G_US_S_Brand_Exact,ADDED,134.696442,95,0,f70816535da3179addce868f45af9dbd96950d41df3deb065a3fa9ce66c8cdf0,buyer,0.63,buyer,review_required,False
Nexla-1,Nexla,ai for customer insights,G_US_S_NB_MCP-Agentic,EXCLUDED,77.505575,35,0,f70816535da3179addce868f45af9dbd96950d41df3deb065a3fa9ce66c8cdf0,buyer,0.53,buyer,already_excluded; no_duplicate_change,False
Nexla-2,Nexla,nexla ai,G_US_S_Brand_Exact,NONE,29.33,4,0,f70816535da3179addce868f45af9dbd96950d41df3deb065a3fa9ce66c8cdf0,buyer,0.68,buyer,review_required,False
Nexla-3,Nexla,model context protocol,G_US_S_NB_MCP-Agentic,NONE,27.35,3,0,f70816535da3179addce868f45af9dbd96950d41df3deb065a3fa9ce66c8cdf0,buyer,0.96,buyer,retain_candidate,False
Nexla-4,Nexla,etl tools,G_US_S_NB_ETL-Pipeline,NONE,19.95,1,0,f70816535da3179addce868f45af9dbd96950d41df3deb065a3fa9ce66c8cdf0,buyer,0.9,buyer,retain_candidate,False
Nexla-5,Nexla,mcp server,G_US_S_NB_MCP-Agentic,NONE,18.32,5,0,f70816535da3179addce868f45af9dbd96950d41df3deb065a3fa9ce66c8cdf0,buyer,0.96,buyer,retain_candidate,False
Nexla-6,Nexla,artificial intelligence products,G_US_S_NB_MCP-Agentic,EXCLUDED,17.86,1,0,f70816535da3179addce868f45af9dbd96950d41df3deb065a3fa9ce66c8cdf0,buyer,0.8099999999999999,buyer,already_excluded; no_duplicate_change,False
Nexla-7,Nexla,agentic database,G_US_S_NB_MCP-Agentic,NONE,12.15,1,0,f70816535da3179addce868f45af9dbd96950d41df3deb065a3fa9ce66c8cdf0,buyer,0.75,buyer,review_required,False
Nexla-8,Nexla,ai agentic workflows,G_US_S_NB_MCP-Agentic,NONE,11.79,3,0,f70816535da3179addce868f45af9dbd96950d41df3deb065a3fa9ce66c8cdf0,buyer,0.88,buyer,review_required,False
Nexla-9,Nexla,mcp market,G_US_S_NB_MCP-Agentic,NONE,10.74,2,0,f70816535da3179addce868f45af9dbd96950d41df3deb065a3fa9ce66c8cdf0,buyer,0.92,buyer,retain_candidate,False
Nexla-10,Nexla,higgsfield ai mcp,G_US_S_NB_MCP-Agentic,EXCLUDED,10.45,2,0,f70816535da3179addce868f45af9dbd96950d41df3deb065a3fa9ce66c8cdf0,buyer,0.56,buyer,already_excluded; no_duplicate_change,False
Nexla-11,Nexla,mcp protocol,G_US_S_NB_MCP-Agentic,NONE,10.21,2,0,f70816535da3179addce868f45af9dbd96950d41df3deb065a3fa9ce66c8cdf0,buyer,0.95,buyer,retain_candidate,False
Nexla-12,Nexla,free mcp servers,G_US_S_NB_MCP-Agentic,EXCLUDED,9.17,1,0,f70816535da3179addce868f45af9dbd96950d41df3deb065a3fa9ce66c8cdf0,buyer,0.94,buyer,already_excluded; no_duplicate_change,False
Nexla-13,Nexla,mcp,G_US_S_NB_MCP-Agentic,EXCLUDED,9.17,2,0,f70816535da3179addce868f45af9dbd96950d41df3deb065a3fa9ce66c8cdf0,buyer,0.87,buyer,already_excluded; no_duplicate_change,False
Nexla-14,Nexla,mcp inspector,G_US_S_NB_MCP-Agentic,EXCLUDED,8.59,1,0,f70816535da3179addce868f45af9dbd96950d41df3deb065a3fa9ce66c8cdf0,buyer,0.8099999999999999,buyer,already_excluded; no_duplicate_change,False
Nexla-15,Nexla,ai powered products,G_US_S_NB_MCP-Agentic,EXCLUDED,8.24,1,0,f70816535da3179addce868f45af9dbd96950d41df3deb065a3fa9ce66c8cdf0,buyer,0.78,buyer,already_excluded; no_duplicate_change,False
