#,Business,Show?,QA state,Priority,Phone,Best email,Other emails,Contact / role,Channel,Our concept,Their site,Their score,Vertical,Area,Address,Batch,Last verified,Fix reason,Duplicate of,Note
13,"MOM's Organic Market, Center City",YES,Design verified,SHOW,(215) 709-0022,,,Phone / official contact route,Phone / contact form only,https://philly-site-builder-hub-0711.netlify.app/sites/moms-organic-market/,,,,,"34 South 11th Street, Philadelphia, PA 19107",Philadelphia Batch 1 · restored canonical routes,2026-08-05,,,Original 100 - show
14,Morris Arboretum & Gardens,YES,Design verified,SHOW,(215) 247-5777,mellanya@upenn.edu,,General public email,Phone + email,https://philly-site-builder-hub-0711.netlify.app/sites/morris-arboretum/,,,,,"100 E. Northwestern Avenue, Philadelphia, PA 19118",Philadelphia Batch 1 · restored canonical routes,2026-08-05,,,Original 100 - show
15,Pat's King of Steaks,YES,Design verified,SHOW,(215) 468-1546,,,Phone / official contact route,Phone / contact form only,https://philly-site-builder-hub-0711.netlify.app/sites/pats-king-steaks/,,,,,"1237 E. Passyunk Ave, Philadelphia, PA 19147",Philadelphia Batch 1 · restored canonical routes,2026-08-05,,,Original 100 - show
16,Philadelphia Record Exchange,YES,Design verified,SHOW,(215) 425-4389,,,Phone / official contact route,Phone / contact form only,https://philly-site-builder-hub-0711.netlify.app/sites/philadelphia-record-exchange/,,,,,"1524 Frankford Avenue, Philadelphia, PA 19125",Philadelphia Batch 1 · restored canonical routes,2026-08-05,,,Original 100 - show
17,Philadelphia's Magic Gardens,YES,Design verified,SHOW,(215) 733-0390,info@phillymagicgardens.org,,General public email,Phone + email,https://philly-site-builder-hub-0711.netlify.app/sites/magic-gardens/,,,,,"1020 South Street, Philadelphia, PA 19147",Philadelphia Batch 1 · restored canonical routes,2026-08-05,,,Original 100 - show
18,Reading Terminal Market,YES,Design verified,SHOW,(215) 922-2317,a-allman@readingterminalmarket.org,,General public email,Phone + email,https://philly-site-builder-hub-0711.netlify.app/sites/reading-terminal/,,,,,"1136 Arch Street, Philadelphia, PA 19107",Philadelphia Batch 1 · restored canonical routes,2026-08-05,,,Original 100 - show
19,ReAnimator Coffee,YES,Design verified,SHOW,(267) 758-6264,info@reanimatorcoffee.com,,General public email,Phone + email,https://philly-site-builder-hub-0711.netlify.app/sites/reanimator-coffee/,,,,,"310 W. Master Street, Philadelphia, PA 19122",Philadelphia Batch 1 · restored canonical routes,2026-08-05,,,Original 100 - show
20,Square 1682,YES,Design verified,SHOW,(215) 563-5008,,,Phone / official contact route,Phone / contact form only,https://philly-site-builder-hub-0711.netlify.app/sites/square-1682/,,,,,"121 South 17th Street, Philadelphia, PA 19103",Philadelphia Batch 1 · restored canonical routes,2026-08-05,,,Original 100 - show
21,Standard Tap,YES,Design verified,SHOW,(215) 238-0630,info@standardtap.com,,General public email,Phone + email,https://philly-site-builder-hub-0711.netlify.app/sites/standard-tap/,,,,,"901 N. 2nd Street, Philadelphia, PA 19123",Philadelphia Batch 1 · restored canonical routes,2026-08-05,,,Original 100 - show
22,Suraya,YES,Design verified,SHOW,(215) 302-1900,hello@surayaphilly.com,,General public email,Phone + email,https://philly-site-builder-hub-0711.netlify.app/sites/suraya/,,,,,"1528 Frankford Avenue, Philadelphia, PA 19125",Philadelphia Batch 1 · restored canonical routes,2026-08-05,,,Original 100 - show
23,Termini Brothers Bakery,YES,Design verified,SHOW,(215) 334-1816,customerservice@termini.com,,General public email,Phone + email,https://philly-site-builder-hub-0711.netlify.app/sites/termini-bros/,,,,,"1523 South 8th Street, Philadelphia, PA 19147",Philadelphia Batch 1 · restored canonical routes,2026-08-05,,,Original 100 - show
24,Victor Cafe,YES,Design verified,SHOW,(215) 468-3040,victorcafe@victorcafe.com,,General public email,Phone + email,https://philly-site-builder-hub-0711.netlify.app/sites/victor-cafe/,,,,,"1303 Dickinson Street, Philadelphia, PA 19147",Philadelphia Batch 1 · restored canonical routes,2026-08-05,,,Original 100 - show
25,Zahav,YES,Design verified,SHOW,(215) 625-8800,info@zahavrestaurant.com,,General public email,Phone + email,https://philly-site-builder-hub-0711.netlify.app/sites/zahav/,,,,,"237 St. James Place, Philadelphia, PA 19106",Philadelphia Batch 1 · restored canonical routes,2026-08-05,,,Original 100 - show
26,Dependable Concrete Contractor LLC,YES,Design verified,SHOW,(215) 821-9779,dependablecw@gmail.com,,General public email,Phone + email,https://philly-25-homepage-concepts-batch-2.netlify.app/dependable-concrete/,,,Home Services,,"7715 Crittenden St, Philadelphia, PA 19118",Philadelphia Batch 2,2026-08-05,,,Original Batch 2 design. Open this Batch
27,"A POSITIVE RESPONSE PLUMBING, LLC.",YES,Design verified,SHOW,(267) 713-9094,apositiveresponse@gmail.com,,General public email,Phone + email,https://philly-25-homepage-concepts-batch-3.netlify.app/sites/a-positive-response-plumbing-llc/,,,Painting / drywall,,"1804 Ashurst Rd, Philadelphia, PA 19151",Philadelphia Batch 3,2026-08-05,,,Original Batch 3 hub URL.
28,"Advanced Commercial Interior, Inc.",YES,Design verified,SHOW,(610) 237-9900,bob@advancedcommercial.com,,General public email,Phone + email,https://philly-25-homepage-concepts-batch-3.netlify.app/sites/advanced-commercial-interior-inc/,,,Plumbing / sewer,,"1050 E Ashland Ave, Folcroft, PA 19032",Philadelphia Batch 3,2026-08-05,,,Original 100 - show
29,Anton's Plumbing & Heating Inc.,YES,Design verified,SHOW,(610) 328-1601,anton5225@yahoo.com,,General public email,Phone + email,https://philly-25-homepage-concepts-batch-3.netlify.app/sites/anton-s-plumbing-heating-inc/,,,Plumbing / sewer,,"1312 Providence Rd, Secane, PA 19018",Philadelphia Batch 3,2026-08-05,,,Original 100 - show
30,"Bryn Mawr Plumbing & Heating Co., Inc.",YES,Design verified,SHOW,(610) 525-1267,brynmawrplumbing@msn.com,,General public email,Phone + email,https://philly-25-homepage-concepts-batch-3.netlify.app/sites/bryn-mawr-plumbing-heating-co-inc/,,,Plumbing / sewer,,"19 Summit Grove Ave, Bryn Mawr, PA 19010",Philadelphia Batch 3,2026-08-05,,,Original 100 - show
31,C. Mazzoni Brothers Inc.,YES,Design verified,SHOW,(215) 416-9325,c.mazzoni1@verizon.net,,General public email,Phone + email,https://philly-25-homepage-concepts-batch-3.netlify.app/sites/c-mazzoni-brothers-inc/,,,Painting / drywall,,"121 Pencoyd Ave, Bala Cynwyd, PA 19004",Philadelphia Batch 3,2026-08-05,,,Original 100 - show
32,"Choice Coating, Inc.",YES,Design verified,SHOW,(215) 943-3903,choicecoatinginc@aol.com,,General public email,Phone + email,https://philly-25-homepage-concepts-batch-3.netlify.app/sites/choice-coating-inc/,,,Plumbing / sewer,,"201 Welsford Rd, Fairless Hills, PA 19030",Philadelphia Batch 3,2026-08-05,,,Original 100 - show
33,Chris Clement Plumbing & Heating,YES,Design verified,SHOW,(610) 446-5231,ccle100669@comcast.net,,General public email,Phone + email,https://philly-25-homepage-concepts-batch-3.netlify.app/sites/chris-clement-plumbing-heating/,,,Painting / drywall,,"Havertown, PA 19083",Philadelphia Batch 3,2026-08-05,,,Original 100 - show
34,Commercial Wallcovering,YES,Design verified,SHOW,(215) 396-0363,commercialwall@yahoo.com,,General public email,Phone + email,https://philly-25-homepage-concepts-batch-3.netlify.app/sites/commercial-wallcovering/,,,Plumbing / sewer,,"4201 Neshaminy Blvd, Bensalem, PA 19020",Philadelphia Batch 3,2026-08-05,,,Original 100 - show
35,"Dan Ferry Plumbing, Inc.",YES,Design verified,SHOW,(610) 344-3979,joshuaferry90@gmail.com,,General public email,Phone + email,https://philly-25-homepage-concepts-batch-3.netlify.app/sites/dan-ferry-plumbing-inc/,,,Plumbing / sewer,,"414 Barker Dr, West Chester, PA 19380",Philadelphia Batch 3,2026-08-05,,,Original 100 - show
36,Ferguson Plumbing & Heating,YES,Design verified,SHOW,(610) 664-5334,fergplumb@yahoo.com,,General public email,Phone + email,https://philly-25-homepage-concepts-batch-3.netlify.app/sites/ferguson-plumbing-heating/,,,Painting / drywall,,"421 Valley Rd, Havertown, PA 19083",Philadelphia Batch 3,2026-08-05,,,Original 100 - show
37,Gracies Painting,YES,Design verified,SHOW,(215) 427-8759,jvgpainting@aol.com,,General public email,Phone + email,https://philly-25-homepage-concepts-batch-3.netlify.app/sites/gracies-painting/,,,Painting / drywall,,"1222 E Columbia Ave, Philadelphia, PA 19125",Philadelphia Batch 3,2026-08-05,,,Original 100 - show
38,Graham Painting (10/98),YES,Design verified,SHOW,(215) 335-9389,grahampainting@comcast.net,,General public email,Phone + email,https://philly-25-homepage-concepts-batch-3.netlify.app/sites/graham-painting-10-98/,,,Painting / drywall,,"Bensalem, PA 19020",Philadelphia Batch 3,2026-08-05,,,Original 100 - show
39,Integrity Interiors,YES,Design verified,SHOW,(267) 716-8638,rosewilk4@comcast.net,,General public email,Phone + email,https://philly-25-homepage-concepts-batch-3.netlify.app/sites/integrity-interiors/,,,Painting / drywall,,"Bridgeport, PA 19405",Philadelphia Batch 3,2026-08-05,,,Original 100 - show
40,James Harper Painting,YES,Design verified,SHOW,(267) 228-2000,hjehbeh@aol.com,,General public email,Phone + email,https://philly-25-homepage-concepts-batch-3.netlify.app/sites/james-harper-painting/,,,Plumbing / sewer,,"Southampton, PA 18966",Philadelphia Batch 3,2026-08-05,,,Original 100 - show
41,Lynch Plumbing & Heating,YES,Design verified,SHOW,(610) 543-6063,lynchplumbingandheating@gmail.com,,General public email,Phone + email,https://philly-25-homepage-concepts-batch-3.netlify.app/sites/lynch-plumbing-heating/,,,,,"119 Yale Square, Swarthmore, PA 19081",Philadelphia Batch 3,2026-08-05,,,Original 100 - show
42,"Mary Cleary Drywall & Carpentry, LLC",YES,Design verified,SHOW,(215) 885-5850,mlkretschman@comcast.net,,General public email,Phone + email,https://philly-25-homepage-concepts-batch-3.netlify.app/sites/mary-cleary-drywall-carpentry-llc/,,,,,"2432 Arlington Ave, Roslyn, PA 19001",Philadelphia Batch 3,2026-08-05,,,Original 100 - show
43,"Mitchell Painting, LLC",YES,Design verified,SHOW,(267) 242-3168,jmitchell11795@aol.com,,General public email,Phone + email,https://philly-25-homepage-concepts-batch-3.netlify.app/sites/mitchell-painting-llc/,,,,,"1914 E Moyamensing Ave, Philadelphia, PA 19148",Philadelphia Batch 3,2026-08-05,,,Original 100 - show
44,PK2 Construction,YES,Design verified,SHOW,(215) 847-4000,pk2crete@gmail.com,,General public email,Phone + email,https://philly-25-homepage-concepts-batch-3.netlify.app/sites/pk2-construction/,,,,,"Philadelphia, PA",Philadelphia Batch 3,2026-08-05,,,Original 100 - show
45,"Prime Interiors, LLC",YES,Design verified,SHOW,(215) 441-9206,primeinteriors@aol.com,,General public email,Phone + email,https://philly-25-homepage-concepts-batch-3.netlify.app/sites/prime-interiors-llc/,,,,,"516 Moreboro Rd, Hatboro, PA 19040",Philadelphia Batch 3,2026-08-05,,,Original 100 - show
46,Robert J. Spence Plumbing and Heating,YES,Design verified,SHOW,(610) 328-2022,rspence@gmail.com,,General public email,Phone + email,https://philly-25-homepage-concepts-batch-3.netlify.app/sites/robert-j-spence-plumbing-and-heating/,,,,,"437 Harwicke Rd, Springfield, PA 19064",Philadelphia Batch 3,2026-08-05,,,Original 100 - show
47,Sharp Edge Construction Company,YES,Design verified,SHOW,(215) 941-2348,sharpedgeconstruction@hotmail.com,,General public email,Phone + email,https://philly-25-homepage-concepts-batch-3.netlify.app/sites/sharp-edge-construction-company/,,,,,"Philadelphia, PA",Philadelphia Batch 3,2026-08-05,,,Original 100 - show
48,Shooster Development,YES,Design verified,SHOW,(610) 627-0394,reoffice@shooter.net,,General public email,Phone + email,https://philly-25-homepage-concepts-batch-3.netlify.app/sites/shooster-development/,,,,,"P.O. Box 349, Media, PA 19063",Philadelphia Batch 3,2026-08-05,,,Original 100 - show
49,"Sioutis Coatings Ent., Inc.",YES,Design verified,SHOW,(610) 359-9117,anasioutis@verizon.net,,General public email,Phone + email,https://philly-25-homepage-concepts-batch-3.netlify.app/sites/sioutis-coatings-ent-inc/,,,,,"406 N Sproul Rd, Broomall, PA 19008",Philadelphia Batch 3,2026-08-05,,,Original 100 - show
50,Tanglewood PTG. Corp.,YES,Design verified,SHOW,(610) 874-6160,twpc@verizon.net,,General public email,Phone + email,https://philly-25-homepage-concepts-batch-3.netlify.app/sites/tanglewood-ptg-corp/,,,,,"Brookhaven, PA 19015",Philadelphia Batch 3,2026-08-05,,,Original 100 - show
51,Trend Painting,YES,Design verified,SHOW,(215) 340-3577,trendpaintinginc@yahoo.com,,General public email,Phone + email,https://philly-25-homepage-concepts-batch-3.netlify.app/sites/trend-painting/,,,,,"Doylestown, PA 18901",Philadelphia Batch 3,2026-08-05,,,Original 100 - show
52,"A.M. Electric, Inc.",YES,Design verified,SHOW,(215) 236-3663,info@amelectricservice.com,,General public email,Phone + email,https://philly-25-redesigns-batch-4.netlify.app/sites/a-m-electric-inc/,,,Electrical,,"2245-47 N. 27th Street, Philadelphia, PA 19132",Philadelphia Batch 4,2026-08-05,,,Original 100 - show
53,All Phase Electric Co.,YES,Design verified,SHOW,(610) 449-4902,info@allphaseelectricco.com,,General public email,Phone + email,https://philly-25-redesigns-batch-4.netlify.app/sites/all-phase-electric-co/,,,Electrical,,"9015 West Chester Pike, Upper Darby, PA 19082",Philadelphia Batch 4,2026-08-05,,,Original 100 - show
54,APT Heating and Cooling,YES,Design verified,SHOW,(610) 213-2914,aptheating.service@hotmail.com,,General public email,Phone + email,https://philly-25-redesigns-batch-4.netlify.app/sites/apt-heating-and-cooling/,,,HVAC,,"1104 Winding Rd, Lansdale, PA 19446",Philadelphia Batch 4,2026-08-05,,,Original 100 - show
55,"Bill Frusco Plumbing, Heating & Cooling",YES,Design verified,SHOW,(215) 728-1482,,,Phone / official contact route,Phone / contact form only,https://philly-25-redesigns-batch-4.netlify.app/sites/bill-frusco-plumbing-heating-cooling/,,,Plumbing / HVAC / commercial,,"8675 Torresdale Ave, Philadelphia, PA 19136",Philadelphia Batch 4,2026-08-05,,,Original 100 - show
56,"Borden Heating & Cooling, Inc.",YES,Design verified,SHOW,(610) 325-9966,,,Phone / official contact route,Phone / contact form only,https://philly-25-redesigns-batch-4.netlify.app/sites/borden-heating-cooling-inc/,,,HVAC,,"501 Abbott Dr, #G3, Broomall, PA 19008",Philadelphia Batch 4,2026-08-05,,,Original 100 - show
57,"Brandon Electric, Inc.",YES,Design verified,SHOW,(215) 722-2988,,,Phone / official contact route,Phone / contact form only,https://philly-25-redesigns-batch-4.netlify.app/sites/brandon-electric-inc/,,,Electrical,,"7335 Rising Sun Ave, Philadelphia, PA 19111",Philadelphia Batch 4,2026-08-05,,,Original 100 - show
58,Centrum Mechanical Services,YES,Design verified,SHOW,(610) 583-9800,,,Phone / official contact route,Phone / contact form only,https://philly-25-redesigns-batch-4.netlify.app/sites/centrum-mechanical-services/,,,Mechanical / HVAC / plumbing,,"685 Elmwood Avenue, Sharon Hill, PA 19079",Philadelphia Batch 4,2026-08-05,,,Original 100 - show
59,Charles Schillinger Company,YES,Design verified,SHOW,(215) 638-7200,,,Phone / official contact route,Phone / contact form only,https://philly-25-redesigns-batch-4.netlify.app/sites/charles-schillinger-company/,,,Metal spinning / forming,,"1329 Ford Road, Bensalem, PA 19020",Philadelphia Batch 4,2026-08-05,,,Original 100 - show
60,"Cleaned by D&D, LLC",YES,Design verified,SHOW,(215) 380-4568,,,,Phone / contact form only,https://philly-25-redesigns-batch-4.netlify.app/sites/cleaned-by-d-d-llc/,,,,,"Philadelphia, PA",Philadelphia Batch 4,2026-08-05,,,Original 100 - show
61,"CompuCraft Fabricators, Inc.",YES,Design verified,SHOW,(215) 654-7778,alfred.erpel@metalwork.com,,General public email,Phone + email,https://philly-25-redesigns-batch-4.netlify.app/sites/compucraft-fabricators-inc/,,,Precision sheet metal,,"102D Park Dr, Montgomeryville, PA 18936",Philadelphia Batch 4,2026-08-05,,,Original 100 - show
62,"Dunryte Electric, Inc.",YES,Design verified,SHOW,(267) 784-6969,dunryteelectricinc@comcast.net,,General public email,Phone + email,https://philly-25-redesigns-batch-4.netlify.app/sites/dunryte-electric-inc/,,,Electrical,,"158 Pinehill Rd, Feasterville-Trevose, PA 19053",Philadelphia Batch 4,2026-08-05,,,Original 100 - show
63,"Ernest D. Menold, Inc.",YES,Design verified,SHOW,(610) 521-4700,menold@menold.com,,General public email,Phone + email,https://philly-25-redesigns-batch-4.netlify.app/sites/ernest-d-menold-inc/,,,General sheet metal,,"445 Powhatan Avenue, Lester, PA 19029",Philadelphia Batch 4,2026-08-05,,,Original 100 - show
64,Gallagher Fabrication & Machine,YES,Design verified,SHOW,(484) 366-7574,doug@gallagherfab.com,,General public email,Phone + email,https://philly-25-redesigns-batch-4.netlify.app/sites/gallagher-fabrication-machine/,,,Fabrication / machining,,"2125 Fox Hollow Ln, East Greenville, PA 18041",Philadelphia Batch 4,2026-08-05,,,Original 100 - show
65,Guaranteed Plumbing & Heating,YES,Design verified,SHOW,(215) 342-7200,,,Phone / official contact route,Phone / contact form only,https://philly-25-redesigns-batch-4.netlify.app/sites/guaranteed-plumbing-heating/,,,Plumbing / HVAC,,"900 Cottman Ave, Philadelphia, PA 19111",Philadelphia Batch 4,2026-08-05,,,Original 100 - show
66,H&G Sign Company,YES,Design verified,SHOW,(215) 425-7753,,,,Phone / contact form only,https://philly-25-redesigns-batch-4.netlify.app/sites/h-g-sign-company/,,,,,"3450 Salmon Street, Unit 303B, Philadelphia, PA 19125",Philadelphia Batch 4,2026-08-05,,,Original 100 - show
67,"JDV Electric, LLC",YES,Design verified,SHOW,(610) 364-5099,,,Phone / official contact route,Phone / contact form only,https://philly-25-redesigns-batch-4.netlify.app/sites/jdv-electric-llc/,,,Electrical,,"777 W Providence Rd Unit B, Lansdowne, PA 19050",Philadelphia Batch 4,2026-08-05,,,Original 100 - show
68,K.A.M. Sheet Metal & Fab,YES,Design verified,SHOW,(267) 608-6287,ray.kamsm@gmail.com,,General public email,Phone + email,https://philly-25-redesigns-batch-4.netlify.app/sites/k-a-m-sheet-metal-fab/,,,,,"800 Pine Hill Rd, Philadelphia, PA",Philadelphia Batch 4,2026-08-05,,,Original 100 - show
69,Manayunk Plumbing & Heating,YES,Design verified,SHOW,(610) 936-8707,,,Phone / official contact route,Phone / contact form only,https://philly-25-redesigns-batch-4.netlify.app/sites/manayunk-plumbing-heating/,,,,,"Philadelphia, PA 19128",Philadelphia Batch 4,2026-08-05,,,Original 100 - show
70,"Solution Based Plumbing and Heating, Inc.",YES,Design verified,SHOW,(215) 584-2098,,,Phone / official contact route,Phone / contact form only,https://philly-25-redesigns-batch-4.netlify.app/sites/solution-based-plumbing-and-heating-inc/,,,,,"Levittown, PA 19056",Philadelphia Batch 4,2026-08-05,,,Original 100 - show
71,Strickland Electric,YES,Design verified,SHOW,(267) 973-1752,tystrickelectric@gmail.com,,General public email,Phone + email,https://philly-25-redesigns-batch-4.netlify.app/sites/strickland-electric/,,,,,"Philadelphia, PA",Philadelphia Batch 4,2026-08-05,,,Original 100 - show
72,Summers Quality Services,YES,Design verified,SHOW,(215) 482-8800,,,Phone / official contact route,Phone / contact form only,https://philly-25-redesigns-batch-4.netlify.app/sites/summers-quality-services/,,,,,"8200 Ridge Avenue, Philadelphia, PA 19128",Philadelphia Batch 4,2026-08-05,,,Original 100 - show
73,United Metal Construction LLC,YES,Design verified,SHOW,(215) 941-7873,info@unitedmconstruction.com,,General public email,Phone + email,https://philly-25-redesigns-batch-4.netlify.app/sites/united-metal-construction-llc/,,,,,"7930 State Rd, Philadelphia, PA 19136",Philadelphia Batch 4,2026-08-05,,,Original 100 - show
74,"Waste Gas Fabricating Company, Inc.",YES,Design verified,SHOW,(215) 736-9240,sales@wastegas.com,,General public email,Phone + email,https://philly-25-redesigns-batch-4.netlify.app/sites/waste-gas-fabricating-company-inc/,,,,,"450 New Bold Road, Fairless Hills, PA 19030",Philadelphia Batch 4,2026-08-05,,,Original 100 - show
75,"Wilson's Forklift Service, LLC",YES,Design verified,SHOW,(610) 383-9270,info@wilsonsforklift.com,,General public email,Phone + email,https://philly-25-redesigns-batch-4.netlify.app/sites/wilson-s-forklift-service-llc/,,,,,"1391 Valley Rd, Coatesville, PA 19320",Philadelphia Batch 4,2026-08-05,,,Original 100 - show
76,Young's Electrical Services Inc.,YES,Design verified,SHOW,(215) 962-3904,rayoung3j@msn.com,,General public email,Phone + email,https://philly-25-redesigns-batch-4.netlify.app/sites/young-s-electrical-services-inc/,,,,,"Glenside, PA 19038",Philadelphia Batch 4,2026-08-05,,,Original 100 - show
77,Academy Chiropractic Center,YES,Design verified,SHOW,(215) 546-4860,,,Phone / official contact route,Phone / contact form only,https://philly-25-homepage-concepts-batch-2.netlify.app/academy-chiropractic-center/,,,Medical & Healthcare,,"1420 Locust St. R5, Philadelphia, PA 19102",Philadelphia W31 verified 25,2026-08-05,,,Open the Batch 2 hub URL. The remount is
78,Acupuncture Medical Practice,YES,Design verified,SHOW,(215) 751-9833,acupuncturephilly@yahoo.com,,General public email,Phone + email,https://philly-25-homepage-concepts-batch-2.netlify.app/acupuncture-medical-practice/,,,Medical & Healthcare,,"1737 Chestnut Street, Ste. 200, Philadelphia, PA 19103",Philadelphia W31 verified 25,2026-08-05,,,Open the Batch 2 hub URL. The remount is
79,Bridesburg Spine and Injury Clinic,YES,Design verified,SHOW,(215) 743-5330,,,Phone / official contact route,Phone / contact form only,https://philly-25-homepage-concepts-batch-2.netlify.app/bridesburg-spine-and-injury-clinic/,,,Medical & Healthcare,,"2644 Lefevre St, Philadelphia, PA 19137",Philadelphia W31 verified 25,2026-08-05,,,Open the Batch 2 hub URL. The remount is
80,"Bustleton Services, Inc",YES,Design verified,SHOW,(215) 447-3140,info@bustletonservices.com,,General public email,Phone + email,https://philly-25-homepage-concepts-batch-2.netlify.app/bustleton-services/,,,Home Services,,"735 Birch Avenue, Bensalem, PA 19020",Philadelphia W31 verified 25,2026-08-05,,,Open the Batch 2 hub URL. The remount is
81,E & E cleaning services,YES,Design verified,SHOW,(267) 593-0603,eandecleaning@mail.com,,General public email,Phone + email,https://philly-25-homepage-concepts-batch-2.netlify.app/e-and-e-cleaning/,,,Home Services,,"2025 South Norwood Street, Philadelphia, PA 19145",Philadelphia W31 verified 25,2026-08-05,,,Open the Batch 2 hub URL. The remount is
82,Farrell's Roofing,YES,Design verified,SHOW,(215) 501-0276,farrellsroofingphilly@gmail.com,,General public email,Phone + email,https://philly-25-homepage-concepts-batch-2.netlify.app/farrells-roofing/,,,Home Services,,"12801 Medford Rd, Philadelphia, PA",Philadelphia W31 verified 25,2026-08-05,,,Open the Batch 2 hub URL. The remount is
83,GREATER PHILADELPHIA CHIROPRACTIC CENTER,YES,Design verified,SHOW,(215) 338-8555,,,Phone / official contact route,Phone / contact form only,https://philly-25-homepage-concepts-batch-2.netlify.app/greater-philadelphia-chiropractic-center/,,,Medical & Healthcare,,"2612 Rhawn St, Philadelphia, PA 19152",Philadelphia W31 verified 25,2026-08-05,,,Open the Batch 2 hub URL. The remount is
84,Hal Rosenthaler DMD,YES,Design verified,SHOW,(215) 673-7400,info@halrosenthalerdmd.com,,General public email,Phone + email,https://philly-25-homepage-concepts-batch-2.netlify.app/hal-rosenthaler-dmd/,,,Medical & Healthcare,,"1718 Welsh Road, Philadelphia, PA",Philadelphia W31 verified 25,2026-08-05,,,Open the Batch 2 hub URL. The remount is
