rank,slug,business,official_url,verified_phone,public_demo_url,first_party_phone_match,live_suppression,relationship_clearance,duplicate_check,source_classification,pitch_scope,notes
15,mayfair-family-chiropractic,"Mayfair Family Chiropractic Center","https://www.mayfairchiro.com/","215-332-8686","https://philly-25-homepage-concepts-batch-2.netlify.app/mayfair-family-chiropractic/","PASS","NO_HOLD_OR_DNP_MATCH","CLEAR","UNIQUE_DOMAIN_AND_PHONE","CLEAR_FOR_INTERNAL_CALL_QA","optimization","Pitch conversion and presentation optimization."
16,borden-heating-cooling-inc,"Borden Heating & Cooling, Inc.","https://bordenco.com/","610-325-9966","https://philly-25-redesigns-batch-4.netlify.app/sites/borden-heating-cooling-inc/","PASS","NO_HOLD_OR_DNP_MATCH","CLEAR","UNIQUE_DOMAIN_AND_PHONE","CLEAR_FOR_INTERNAL_CALL_QA","optimization","Pitch conversion and presentation optimization."
17,brandon-electric-inc,"Brandon Electric, Inc.","https://brandonelectricpa.com/","215-722-2988","https://philly-25-redesigns-batch-4.netlify.app/sites/brandon-electric-inc/","PASS","NO_HOLD_OR_DNP_MATCH","CLEAR","UNIQUE_DOMAIN_AND_PHONE","CLEAR_FOR_INTERNAL_CALL_QA","optimization","Pitch conversion and presentation optimization."
18,centrum-mechanical-services,"Centrum Mechanical Services","https://centrummechanical.com/","610-583-9800","https://philly-25-redesigns-batch-4.netlify.app/sites/centrum-mechanical-services/","PASS","NO_HOLD_OR_DNP_MATCH","CLEAR","UNIQUE_DOMAIN_AND_PHONE","CLEAR_FOR_INTERNAL_CALL_QA","optimization","Pitch conversion and presentation optimization."
19,rufus-chiropractic-and-wellness,"Rufus Chiropractic and Wellness","https://www.rufuschiropractic.com/","215-673-1113","https://philly-25-homepage-concepts-batch-2.netlify.app/rufus-chiropractic-and-wellness/","PASS","NO_HOLD_OR_DNP_MATCH","CLEAR","UNIQUE_DOMAIN_AND_PHONE","CLEAR_FOR_INTERNAL_CALL_QA","optimization_only","Current site has appointment, service, and patient flows."
20,cleaned-by-d-d-llc,"Cleaned by D&D, LLC","https://www.cleanedbydd.com/","215-380-4568","https://philly-25-redesigns-batch-4.netlify.app/sites/cleaned-by-d-d-llc/","PASS","NO_HOLD_OR_DNP_MATCH","CLEAR","UNIQUE_DOMAIN_AND_PHONE","CLEAR_FOR_INTERNAL_CALL_QA","rebuild","Exact replacement for Bill Frusco; current first-party phone verified."
21,jdv-electric-llc,"JDV Electric, LLC","https://www.jdvelectric.com/","610-364-5099","https://philly-25-redesigns-batch-4.netlify.app/sites/jdv-electric-llc/","PASS","NO_HOLD_OR_DNP_MATCH","CLEAR","UNIQUE_DOMAIN_AND_PHONE","CLEAR_FOR_INTERNAL_CALL_QA","optimization_only","Current site is conversion-rich; use a narrow evidence-led angle."
22,charles-schillinger-company,"Charles Schillinger Company","https://cschillinger.com/","215-638-7200","https://philly-25-redesigns-batch-4.netlify.app/sites/charles-schillinger-company/","PASS","NO_HOLD_OR_DNP_MATCH","CLEAR","UNIQUE_DOMAIN_AND_PHONE","CLEAR_FOR_INTERNAL_CALL_QA","optimization","Pitch conversion and presentation optimization."
23,lawrence-kassan-podiatry,"Lawrence Kassan Podiatry","https://www.philadelphiafeet.com/","215-336-4151","https://philly-25-homepage-concepts-batch-2.netlify.app/lawrence-kassan-podiatry/","PASS","NO_HOLD_OR_DNP_MATCH","CLEAR","UNIQUE_DOMAIN_AND_PHONE","CLEAR_FOR_INTERNAL_CALL_QA","rebuild","Current site contains wrong-topic copy and archive-routed appointment links."
24,rhi-construction,"RHI Construction Inc.","https://www.rhihomes.com/","267-872-3318","https://philly-25-homepage-concepts-batch-2.netlify.app/rhi-construction/","PASS","NO_HOLD_OR_DNP_MATCH","CLEAR","UNIQUE_DOMAIN_AND_PHONE","CLEAR_FOR_INTERNAL_CALL_QA","optimization_only","Current site is content-rich; use copy and hierarchy defects only."
25,scrc-accident-and-injury-center,"SCRC Accident & Injury Center","https://springcrc.com/","267-286-0934","https://philly-25-homepage-concepts-batch-2.netlify.app/scrc-accident-and-injury-center/","PASS","NO_HOLD_OR_DNP_MATCH","CLEAR","UNIQUE_DOMAIN_AND_PHONE","CLEAR_FOR_INTERNAL_CALL_QA","rebuild","Current page repeats major headings/content and has a thin appointment flow."
