query,winA_clicks,winA_impr,winA_pos,winB_clicks,status
ugly sweater bar crawl alpharetta,7,44,1.8,0,gone
ugly sweater crawl,7,269,6.8,0,zero clicks
boos and brews bar crawl,6,64,10.8,0,zero clicks
roswell christmas bar crawl,6,28,2.5,0,gone
alpharetta christmas bar crawl,5,35,2.7,0,gone
bar crawl halloween 2025,5,123,5.5,0,zero clicks
bar crawl tonight,5,106,8.7,0,zero clicks
bar crawl ugly sweater,5,31,4.2,0,gone
bar hopping cincinnati,5,38,3.9,0,gone
cincinnati bar crawl map,5,25,1.5,0,gone
greenville christmas bar crawl,5,88,6.0,0,gone
halloween bar crawls near me,5,60,3.9,0,zero clicks
halloween party fort worth,5,59,9.7,0,gone
roswell ga halloween events,5,43,5.9,0,gone
roswell halloween,5,124,3.7,0,gone
soulard halloween bar crawl,5,327,8.8,0,gone
st pete bar crawl halloween,5,288,7.9,0,zero clicks
the official halloween bar crawl,5,309,6.9,0,zero clicks
atl halloween bar crawl,4,27,6.1,0,gone
atlanta bar crawl map,4,11,1.7,0,gone
bar crawl 2025,4,64,5.4,0,gone
bar crawl tacos and tequila,4,6,2.8,0,gone
cincinnati bar crawl halloween,4,82,4.7,0,gone
cincinnati christmas bar crawl,4,31,6.0,0,gone
cincinnati ugly sweater bar crawl,4,61,4.6,0,gone
cleveland christmas bar crawl,4,286,8.6,0,zero clicks
crawl with us,4,914,9.7,0,zero clicks
halloween bar crawl atlanta 2025,4,68,4.1,0,gone
halloween bar crawl fort worth,4,153,5.7,0,gone
halloween bar crawl st pete,4,300,8.2,0,zero clicks
halloween roswell,4,21,5.4,0,gone
list crawling macon,4,261,6.0,0,zero clicks
list crawling macon ga,4,516,4.8,0,gone
roswell boos and booze,4,7,1.7,0,gone
sarasota bar crawl halloween,4,30,3.4,0,gone
ugly sweater bar crawl greenville sc,4,96,6.1,0,gone
ugly sweater pub crawl,4,58,11.2,0,zero clicks
bar hopping halloween,3,19,3.8,0,gone
bar usa,3,225,21.6,0,zero clicks
belt line bar crawl,3,15,3.3,0,gone
beltline barcrawl,3,12,2.2,0,gone
birmingham bar crawl halloween,3,40,3.9,0,gone
birmingham halloween bar crawl,3,112,4.3,0,gone
boos and booze halloween bar crawl,3,27,4.0,0,gone
christmas sweater bar crawl,3,117,6,0,gone
cocktail crawls,3,98,5.1,0,gone
columbus halloween bar crawl,3,170,13.1,0,zero clicks
do the halloween pub crawl,3,16,4.7,0,gone
greenville bar crawl christmas,3,12,3.2,0,gone
greenville bar crawl halloween,3,49,7.5,0,gone
halloween bar crawl birmingham al,3,65,2.8,0,gone
halloween bar party,3,28,9.8,0,zero clicks
halloween bars,3,90,6.1,0,zero clicks
halloween events roswell ga,3,80,4.1,0,gone
halloween gainesville ga,3,66,4.5,0,gone
holloween bar crawl,3,13,5.9,0,gone
list crawling atlanta,3,5472,8.4,0,gone
onesie pub crawl 2025,3,81,3.5,0,zero clicks
summer sippin bar crawl,3,21,3.3,0,gone
ugly sweater bar crawl cincinnati,3,106,4.9,0,zero clicks
asheville bar crawl halloween,2,30,4.3,0,gone
atlanta bar tours,2,183,10.3,0,zero clicks
atlanta taco and tequila crawl,2,50,3.5,0,gone
bar crawl columbia,2,22,4.5,0,zero clicks
bar crawl downtown st pete,2,40,4,0,gone
bar crawl live,2,604,9.4,0,zero clicks
bar crawl map generator,2,5,6.6,0,gone
bar crawl october 31,2,2,1.5,0,gone
bar crawl party bus,2,113,22.9,0,zero clicks
bar crawls halloween,2,33,4.7,0,zero clicks
bingo bar crawl,2,351,9.0,0,zero clicks
boo crawl,2,41,8.3,0,gone
boo fest bar crawl,2,56,12.8,0,gone
christmas bar crawl near me,2,52,8.3,0,zero clicks
christmas bar hop,2,10,4.2,0,zero clicks
christmas eve bar crawl,2,8,2,0,zero clicks
christmas pop up bar greenville sc,2,12,2.7,0,gone
christmas pub crawl,2,9,3,0,zero clicks
cincinnati halloween bar crawl 2025,2,36,7.4,0,gone
dive bar atlanta,2,1992,9.2,0,gone
felix felicis cocktail,2,92,15.1,0,zero clicks
gainesville halloween,2,42,8.1,0,zero clicks
greenville ugly sweater bar crawl,2,60,5.3,0,zero clicks
halloween bar crawl atl,2,25,1.7,0,gone
halloween bar crawl bingo,2,67,4.8,0,gone
halloween bar crawls atlanta,2,16,1.5,0,gone
halloween bar hop,2,38,8.2,0,gone
halloween bars cincinnati,2,58,5.2,0,gone
halloween bars near me,2,44,3.7,0,zero clicks
halloween boos and booze,2,18,4.6,0,gone
halloween happy hours,2,2,3,0,gone
halloween lakewood ohio,2,86,5.1,0,gone
holiday bar crawl near me,2,29,5.7,0,gone
holiday bar hop,2,16,9,0,gone
lakeview halloween bar crawl,2,18,2.2,0,gone
lakewood bar crawl christmas,2,59,4.3,0,zero clicks
list crawling birmingham alabama,2,63,8.2,0,gone
midtown bar crawl,2,436,9.1,0,zero clicks
midtown bar crawl halloween,2,44,10.3,0,zero clicks
onesie in public,2,118,9.6,0,zero clicks
portland bar crawl halloween,2,273,9.2,0,zero clicks
portland maine halloween bar crawl,2,137,8.1,0,gone
portland ugly sweater bar crawl,2,46,4.6,0,gone
summer sippin roswell 2025,2,71,6.2,0,gone
the boos and booze bar crawl,2,29,3.4,0,gone
trick or drink halloween bar crawl,2,40,7.2,0,zero clicks
ugly christmas bar crawl,2,21,4.7,0,gone
ugly sweater bar,2,72,10.5,0,zero clicks
ugly sweater bar crawl gainesville ga,2,17,4.1,0,gone
ugly sweater bar crawl portland maine,2,33,4.7,0,gone
ugly sweater contest near me,2,5,2,0,gone
usa bar crawl,2,12,1,0,gone
2025 halloween bar crawl,1,9,6,0,gone
abq bar crawl,1,3,2.7,0,gone
adult diaper onesie,1,1,11,0,gone
adult halloween bar events near me,1,1,4,0,gone
atlanta bars halloween,1,10,8.3,0,gone
atlanta halloween bars,1,45,9.8,0,gone
atlanta halloween party 2025,1,2,8.5,0,gone
bar bingo,1,41,2.6,0,zero clicks
bar crael,1,24,1.4,0,zero clicks
bar crawl buckhead,1,85,6.4,0,zero clicks
bar crawl challenges,1,282,4.1,0,zero clicks
bar crawl christmas near me,1,1,1,0,gone
bar crawl event,1,41,7.6,0,zero clicks
bar crawl gainesville,1,14,4.9,0,zero clicks
bar crawl midtown,1,7,6.7,0,gone
bar crawl portland halloween,1,15,9.5,0,gone
bar crawl tampa,1,1,3,0,zero clicks
bar crawl tonight near me,1,12,2.3,0,gone
bar crawls halloween 2025,1,11,7.2,0,gone
bar events today,1,17,29.7,0,gone
bar halloween costume ideas,1,36,8.0,0,gone
bar halloween costumes,1,405,4.8,0,zero clicks
bar halloween events,1,11,5.9,0,zero clicks
bar hop halloween,1,5,6.8,0,gone
bar hop near me,1,42,17.3,0,zero clicks
bar hopping halloween 2025,1,1,5,0,gone
bar map,1,31,10.4,0,zero clicks
bar on halloween,1,2,5.5,0,gone
bars downtown alpharetta,1,46,20.6,0,zero clicks
bars downtown cleveland,1,5,46.2,0,zero clicks
bars halloween events near me,1,3,5.3,0,gone
bars near gainesville ga,1,1,22,0,gone
bars on halloween,1,17,10.9,0,zero clicks
bat crawl,1,58,5.0,0,zero clicks
beltline bars,1,149,32.9,0,zero clicks
beltline christmas,1,56,3.1,0,gone
beltline christmas bars,1,30,5.8,0,gone
best bars in alpharetta,1,3,27,0,zero clicks
best places to bar hop,1,5,7.4,0,zero clicks
best places to bar hop near me,1,2,4.5,0,zero clicks
best pubs in cincinnati,1,21,4.8,0,gone
boo bar crawl,1,23,7.5,0,gone
boos & booze,1,33,12.0,0,gone
boos & brews halloween pub crawl,1,5,4.2,0,gone
boos and booze haunted pub crawl,1,11,46.6,0,zero clicks
boos and booze uf,1,12,2.8,0,gone
booze and boos,1,10,12.6,0,zero clicks
boozy bar crawl,1,6,4.3,0,gone
boozy brunch,1,27,7.7,0,zero clicks
boozy brunch bar,1,12,11.9,0,gone
brewery halloween events,1,4,12.2,0,gone
brunch booze,1,1,2,0,gone
buckhead creepy crawl,1,12,29.3,0,zero clicks
buckhead halloween bar crawl,1,56,12.6,0,zero clicks
cheistmas bar crawl,1,4,4.5,0,gone
christmas bar crawl 2025,1,19,3.9,0,gone
christmas bar crawl birmingham,1,7,2.9,0,gone
christmas bar crawl columbus,1,30,12.9,0,zero clicks
christmas bar crawl columbus ohio,1,152,8.6,0,zero clicks
christmas bar crawl lakewood,1,64,3.7,0,gone
christmas pop-up bar cincinnati,1,10,3.2,0,gone
christmas pop.up bars near me,1,1,11,0,gone
cleveland bar crawl halloween,1,264,10.9,0,zero clicks
cleveland christmas bar crawl 2025,1,18,12.8,0,gone
cleveland ugly sweater bar crawl,1,59,7.6,0,zero clicks
club crawl,1,538,34.3,0,zero clicks
columbia sc events tonight,1,1,2,0,gone
columbia ugly sweater bar crawl,1,14,5.4,0,gone
columbus christmas bar crawl,1,83,9.9,0,zero clicks
columbus ugly sweater bar crawl,1,13,6,0,zero clicks
costume bar crawl,1,11,6.1,0,zero clicks
crawl with us halloween,1,80,7.4,0,zero clicks
crawler bar,1,30,10.9,0,zero clicks
dead man's cove,1,1,1,0,gone
dive bar tours,1,105,26.6,0,gone
downtown st pete bar crawl,1,30,3.7,0,zero clicks
events this weekend birmingham al,1,1,2,0,gone
fall cocktails for restaurants,1,7,50.3,0,gone
fall festivals birmingham al,1,1,2,0,gone
flite city,1,1,5,0,gone
fort worth halloween bars,1,1,1,0,gone
fright night halloween bar crawl,1,8,2.6,0,gone
gainesville ga halloween,1,7,4.1,0,gone
gainesville halloween bar crawl,1,10,3.9,0,gone
halloweekend bar crawl,1,12,6,0,zero clicks
halloween at brewery,1,1,7,0,gone
halloween bar cleveland,1,40,16.4,0,zero clicks
halloween bar craw,1,10,6.9,0,gone
halloween bar crawl birmingham,1,27,2.6,0,gone
halloween bar crawl downtown,1,7,2.1,0,gone
halloween bar crawl oct 25,1,4,5,0,gone
halloween bar crawl oct 31,1,2,8.5,0,gone
halloween bar crawl portland,1,252,10.1,0,gone
halloween bar crawl portland maine,1,83,8.1,0,gone
halloween bar crawl sarasota,1,16,2.4,0,gone
halloween bar crawl this weekend,1,3,5.7,0,gone
halloween bar crawl tonight,1,5,5,0,gone
halloween bar crwal,1,1,2,0,gone
halloween bar events,1,62,4.4,0,zero clicks
halloween bar events near me,1,16,3.6,0,zero clicks
halloween bar parties,1,14,3.4,0,gone
halloween bar st pete,1,50,10.0,0,gone
halloween bar tickets,1,3,3,0,gone
halloween beer crawl,1,31,4.4,0,gone
halloween club crawl,1,7,14.4,0,gone
halloween crawl,1,123,6.7,0,zero clicks
halloween crawl 2025,1,25,6.3,0,zero clicks
halloween crawl bar,1,4,8,0,gone
halloween events gainesville ga,1,217,4.8,0,gone
halloween events lakewood,1,60,5.2,0,gone
halloween in atlanta,1,17,26.7,0,zero clicks
halloween knoxville,1,25,17.2,0,zero clicks
halloween lakewood,1,32,4.6,0,gone
halloween macon ga,1,29,12.3,0,gone
halloween night activities near me,1,1,2,0,gone
halloween parties knoxville tn,1,29,11.6,0,zero clicks
halloween party at bars near me,1,4,2.8,0,gone
halloween party columbia sc,1,54,8.0,0,zero clicks
halloween party knoxville,1,63,10.7,0,gone
halloween party october 25,1,6,6,0,gone
halloween party october 30,1,1,5,0,gone
halloween pop up bar near me,1,21,2.4,0,zero clicks
halloween pub crawl 2025,1,129,3.7,0,zero clicks
halloween pub crawl near me,1,14,2.4,0,zero clicks
halloween pub crawls,1,16,10.1,0,zero clicks
halloween raves 2025 near me,1,1,1,0,gone
halloween roswell ga,1,28,9.0,0,gone
halloween sarasota 2025,1,5,10.8,0,gone
halloween themed bar atlanta,1,2,3,0,gone
halloween themed bars near me,1,63,1.8,0,zero clicks
haloween bar crawl,1,49,5.7,0,zero clicks
harry potter bar,1,174,10.2,0,zero clicks
harry potter bar cincinnati,1,90,10.2,0,zero clicks
harry potter bar portland,1,262,9.5,0,zero clicks
harry potter cocktail,1,530,22.7,0,zero clicks
harry potter trivia near me,1,23,2.9,0,zero clicks
holiday crawl,1,19,6.2,0,zero clicks
holiday pop up bars alpharetta,1,2,3,0,gone
lakewood halloween 2025,1,163,5.0,0,gone
lakewood halloween events,1,63,4.4,0,zero clicks
lakewood ohio halloween,1,59,5.8,0,gone
lawrenceville ga bar,1,336,16.7,0,zero clicks
list crawling birmingham alabama today,1,253,9.7,0,zero clicks
list crawling cincinnati ohio,1,416,9.3,0,gone
list crawling columbia sc,1,363,8.9,0,zero clicks
list crawling columbia south carolina,1,25,7.8,0,gone
list crawling fort worth,1,850,8.4,0,zero clicks
macon boos and booze,1,7,2.9,0,gone
marta bar crawl,1,68,7.2,0,zero clicks
midtown pub crawl,1,176,15.8,0,zero clicks
october 25th bar crawl,1,4,4,0,gone
onesie adulte,1,1,6,0,zero clicks
onesie bar,1,279,7.0,0,zero clicks
onesie damen,1,1,3,0,zero clicks
pop up christmas bar cincinnati,1,25,5.7,0,gone
pop up christmas bar near me,1,15,6.4,0,gone
pop up christmas bars cincinnati,1,18,4.9,0,gone
portland bar crawls,1,27,10.6,0,zero clicks
pub crawl challenges,1,208,6.1,0,zero clicks
pub crawl generator,1,9,26.4,0,zero clicks
pub crawl ideas,1,1189,4.6,0,zero clicks
pub crawl tampa,1,7,7.4,0,gone
pub crawl themes,1,276,13.5,0,zero clicks
pub crawl tonight,1,11,14.8,0,zero clicks
restaurant crawl,1,8,31.8,0,zero clicks
river north halloween bar crawl,1,1,1,0,zero clicks
roswell halloween parade,1,2,11,0,gone
soulard brunch,1,112,12.2,0,zero clicks
st pete ugly sweater bar crawl,1,37,8.3,0,zero clicks
summer sippin cocktail bar crawl roswell,1,17,4.3,0,gone
taco and tequila atlanta,1,243,11.3,0,zero clicks
taco and tequila bar,1,169,15.1,0,zero clicks
taco and tequila festival atlanta,1,29,11.6,0,zero clicks
taco crawl atlanta,1,4,3.2,0,gone
taco festival this weekend,1,2,5.5,0,zero clicks
tacos & tequila bar crawl,1,1,1,0,gone
tacos and tequila atlanta ga,1,125,14.5,0,zero clicks
tacos and tequila bar crawl 2025,1,9,3.8,0,gone
tacos and tequila festival near me,1,1,7,0,gone
tacos and tequila st louis 2025,1,6,26,0,gone
tacos and tequilla,1,40,8.2,0,zero clicks
tampa bar crawl,1,7,2.4,0,zero clicks
tequila bar portland,1,99,17.2,0,zero clicks
thanksgiving bar crawl,1,34,20.9,0,zero clicks
themed bar crawl,1,21,18.3,0,zero clicks
things to do in columbia sc this weekend,1,4,2.8,0,gone
things to do in columbia sc tonight,1,1,2,0,gone
things to do this weekend cincinnati,1,2,3,0,gone
ugly christmas sweater crawl,1,50,5.9,0,zero clicks
ugly christmas sweater pub crawl,1,39,7.8,0,zero clicks
ugly sweater bar crawl birmingham,1,48,8.4,0,zero clicks
ugly sweater bar crawl sarasota,1,2,1.5,0,gone
ugly sweater bar crawl sarasota florida,1,36,7.7,0,gone
ugly sweater bar crawl st pete,1,35,8.1,0,gone
ugly sweater party atlanta,1,14,2.8,0,zero clicks
what is a halloween bar crawl,1,106,4.0,0,gone
what is halloween bar crawl,1,41,4.8,0,gone
what to do in st. louis this weekend,1,1,1,0,gone
what's going on in fort worth this weekend,1,1,2,0,gone
where to bar hop near me,1,16,9.2,0,zero clicks
wicked birmingham al,1,1,5,0,gone
winter bar crawl,1,9,8.2,0,gone
