query,winA_clicks,winB_clicks,winA_pos,winB_pos,positions_lost
easy halloween drinks for adults,0,0,13.2,36.7,23.5
halloween br,0,0,3,26.5,23.5
harry potter themed cocktails,0,0,12.7,36,23.3
boos fest,0,0,10.0,32.3,22.4
bra crawl,0,0,5.5,27.7,22.2
pub crawl map generator,0,0,9.2,31,21.8
crawl summer,0,0,12,33.5,21.5
roswell,0,0,5,26,21
garage crawl,0,0,1,21.7,20.7
christmas bar crawl,39,1,5.5,26.1,20.6
midtown bar hopping,0,0,13,33.5,20.5
trick or drink bar crawl,0,0,13.6,34,20.4
columbia bar crawl,36,24,2.6,22.9,20.3
halloween in knoxville tn,0,0,15.9,36,20.1
des moines halloween bar crawl,0,0,14,34,20
brunch festival,0,0,2,21.8,19.8
columbia boos,0,0,13.3,33,19.7
college bar crawl,0,0,1,20.6,19.6
bar crawl houston,0,0,5,24.5,19.5
halloween cocktail recipes easy,0,0,1,20.4,19.4
harry potter desserts,0,0,6.6,25.9,19.2
ugly christmas sweater party near me,0,0,2.9,22,19.1
halloween bar crawl raleigh,0,0,20,39,19
room crawl,0,0,1,20,19
halloween bar drinks,0,0,2.4,21.2,18.7
open bar events,0,0,3,21.7,18.7
boos and booze bar crawl,60,1,4.7,23.2,18.6
boos and booze halloween party,10,1,6.9,25.4,18.5
zombie bar crawl,0,0,3.3,21.8,18.5
christmas bar crawls near me,0,0,4.6,23,18.4
barcrawlerz,0,0,20,38.1,18.1
bars in lawrenceville,0,0,3,21,18
soulard pub crawl,21,2,1.1,18.9,17.8
bar crawl tacoma,0,0,19.2,37,17.8
halloween fort worth,0,0,12.5,30.3,17.8
st patricks bar crawl,0,2,5,22.8,17.8
around the corner saloon,0,0,16.3,34,17.7
valentine's day bar crawl,0,0,1,18.4,17.4
what to wear to a pub crawl,0,0,1,18.4,17.4
2000s bar crawl,0,1,13.2,30.4,17.2
downtown bar fest,0,0,10,27,17
pub crael,0,0,12,28.8,16.8
city bar crawl,0,0,1.3,18,16.7
cincinatti crawler,0,0,12.7,29,16.3
boos booze,0,0,14.5,30.7,16.2
american bars,0,0,9,25,16
barcraw latest,0,0,3,19,16
greenville bar crawl dallas,0,0,12.5,28.5,16.0
holiday party bus,0,0,3.6,19,15.4
tavern crawl,0,0,1,16.3,15.3
auburn bar crawl,0,0,2,17,15
bars sarasota fl,0,0,1,16,15
does a pub crawl,0,0,1,16,15
leprechaun bar crawl,0,0,3,17.9,14.9
bar halloween party,0,0,5.4,20.1,14.7
pub-crawl.de,0,0,12.2,26.8,14.6
day of the dead bar crawl,0,0,3.1,17.6,14.5
barwalk,0,0,18.7,33.1,14.4
st pats bar crawl,0,0,1,15.2,14.2
brews and boos,0,0,6.2,20.2,14.1
pub crawls meaning,0,0,2,16.1,14.1
harry potter dessert,0,0,7.9,21.8,13.9
atlanta pub crawl,10,7,7.5,21.0,13.6
columbia tacos,0,0,6,19.6,13.6
harry potter bar chattanooga,0,0,8,21.5,13.5
social crawl,0,0,2,15.5,13.5
how many bars in a bar crawl,0,0,1,14.4,13.4
atlanta halloween bar crawl,105,15,3.6,16.9,13.3
harry potter dessert ideas,0,0,1,14.3,13.3
october bar crawl,0,0,10.5,23.8,13.3
st patricks day pub crawl,0,1,9,22.3,13.3
bars open mear me,0,0,3,16,13
cocktail bar alpharetta,0,0,19.2,32.2,13.0
taco and tequila festival st louis,0,0,2,15,13
chattanooga pub crawl,7,4,9.0,21.9,12.9
define pub crawl,0,0,1,13.6,12.6
halloween bars cleveland,0,0,11.0,23.5,12.5
pickle bar crawl,0,1,1,13.5,12.5
ugly sweater bar crawl cleveland,0,0,8.0,20.5,12.5
bar crawl latest,0,0,5.6,18,12.4
pub crawl party bus,0,0,19.1,31.5,12.4
bar crawl atlanta ga,3,3,4.7,17,12.3
pub craw,0,0,7.6,19.8,12.2
bar in downtown greenville sc,0,0,3,15.1,12.1
halloween bar crawl tickets,0,0,13.7,25.8,12.1
bar across,0,0,3,15,12
bar crawl halloween costumes,0,0,5.6,17.6,12.0
pub run,0,0,1,13,12
portland bar crawl,6,20,6.9,18.9,11.9
halloween cocktail recipes,0,0,20,31.9,11.9
pub crawl halloween,0,0,6.8,18.5,11.7
chattanooga bar crawl,14,18,6.8,18.4,11.6
holiday pub crawl,0,0,7.1,18.7,11.6
adults wearing onesies,0,0,11.8,23.2,11.5
bars in downtown birmingham,0,0,3,14.5,11.5
greenville pub crawl,1,4,14.7,26.1,11.4
how does bar crawl work,0,0,8.9,20.3,11.4
holiday pub party,0,0,1,12.3,11.3
whats bar hopping,0,0,1.2,12.5,11.3
cincinnati crawler,0,0,12.5,23.7,11.2
buckhead bar crawl,2,1,8.6,19.7,11.1
awesome bar,0,0,17,28,11
bar halloween,0,0,4,15,11
cheap fun bars near me,0,0,4,15,11
harry potter inspired desserts,0,0,10,21,11
taco fest atlanta,0,0,1,12,11
uark bar crawl,0,0,1,12,11
lakewood taco,0,0,19.6,30.5,10.9
bar near mr,0,0,2,12.8,10.8
halloween cocktails easy,0,1,1.3,12.0,10.7
cincinnati bar crawl,83,45,2.6,13.1,10.5
pub crawl greenville sc,0,1,8.7,19.3,10.5
crawlies bar,0,0,5.9,16.2,10.3
pub crawl theme ideas,0,0,15,25.3,10.3
simple halloween drinks,0,0,1,11.2,10.2
st patty's day bar crawl,0,1,10.8,21.0,10.2
saint patricks day bar crawl,0,1,7.7,17.7,10.1
bar activities,0,0,1,11,10
bar close by,0,0,5,15,10
bar near me .,0,0,2,12,10
busclub,0,0,1,11,10
tequila bar birmingham,0,0,13.9,23.7,9.9
what is bar hopping,0,0,1.1,11.0,9.9
valentine's day drink specials,0,1,3,12.8,9.8
what is bar hoping,0,0,1,10.8,9.8
bar in chattanooga,0,0,2.5,12.1,9.6
taco celebration,0,0,1,10.5,9.5
hotdog bar crawl,0,0,9.8,19.2,9.4
fort worth bar crawl,10,6,5.2,14.5,9.3
que es un pub crawl,0,0,1,10.3,9.3
halloween bar crawl atlanta,123,16,3.9,13.1,9.2
fun halloween drinks,0,0,1.3,10.5,9.2
bar in cincinnati ohio,0,0,2,11,9
when is bar crawl,0,0,2,11,9
halloween party drink ideas,0,0,1,9.9,8.9
what is barhopping,0,0,1.3,10.2,8.9
bar crawl attire,0,0,2,10.8,8.8
buy pub crawl tickets,0,0,11.2,19.9,8.7
downtown crawl,0,0,1.7,10.4,8.7
list crawlers atlanta,0,0,8.0,16.8,8.7
tequila bar,0,0,8.8,17.5,8.7
bar crawl halloween,137,9,4.4,13.0,8.6
bar in macon,0,0,3,11.6,8.6
barcrawlnation,0,0,9.7,18.3,8.6
bars downtown chattanooga,0,0,3,11.6,8.6
tacos & margs crawl,0,2,19.9,28.5,8.6
crawl with us halloween bar crawl,0,0,8.6,17.0,8.5
hot dog hop bar crawl,0,0,2.5,11,8.5
when is tacos and tequila,0,0,1.5,10,8.5
easy cocktails for halloween,0,0,5,13.4,8.4
halloween theme bar,0,0,1.6,10,8.4
halloween themed bars,0,0,2.6,11,8.4
bar food near me,0,0,1,9.2,8.2
christmas crawl,0,0,4.8,13,8.2
bar crawl vs bar hopping,0,0,1,9.1,8.1
pub crawl map maker,0,0,16.2,24.3,8.1
bar crawl usa,968,757,1.4,9.4,8.0
best bars in asheville,0,0,4,12,8
care bear onesie adult,0,0,1,9,8
halloween at the bar,0,0,7.2,15.2,8.0
halloween costume contest near me,0,0,1,9,8
halloween party near me,0,0,1.5,9.5,8.0
is birmingham ugly,0,0,10.5,18.5,8.0
tequila town greenville sc,0,0,10.2,18.2,8.0
womens onesie,0,0,1,9,8
bars near,0,0,1,8.9,7.9
are onesiess in style right now?,0,0,16.7,24.4,7.7
downtown lawrenceville bars,0,0,3,10.7,7.7
pub crawl map template,0,0,14.1,21.8,7.7
the bar near me,0,0,3.3,11,7.7
greenville bar crawl,51,34,4.0,11.6,7.6
barcrawllive,0,0,6.7,14.3,7.6
pub bingo,0,0,5.1,12.7,7.6
street crawl,0,0,1,8.6,7.6
atlanta bar crawl,13,15,8.4,15.9,7.5
bar run,0,0,3,10.5,7.5
oshkosh pub crawl,0,0,3,10.5,7.5
spooky bar,0,0,1,8.5,7.5
taco and tequila festival cincinnati,0,0,19.5,27,7.5
lakeview bar crawl,7,2,2.6,10,7.4
halloween pop up bar,1,2,2.1,9.5,7.4
st patty's bar crawl 2026,0,1,1,8.4,7.4
bar near,0,0,2.3,9.7,7.3
chattanooga tn bars,0,0,2,9.3,7.3
drinks near me,0,0,5,12.3,7.3
themed pub crawls,0,0,12.1,19.4,7.3
hot dog bar crawl,1,1,5.5,12.7,7.2
atlanta beltline christmas,0,0,5.8,13,7.2
barcrawler,0,0,8.2,15.4,7.2
easy halloween cocktail,0,0,4.5,11.7,7.2
fort worth halloween,0,0,19.5,26.7,7.2
harry potter bus bar portland,0,0,19.8,27,7.2
pop up halloween bars near me,0,0,1.8,9,7.2
bar crawl greenville sc,103,52,2.6,9.8,7.1
bar near us,0,0,2.5,9.6,7.1
tequila taco,0,0,6,13.1,7.1
halloween bar crawl,165,63,5.1,12.0,7.0
bar crawl cleveland ohio,2,2,5.9,13.0,7.0
adult halloween parties near me,0,0,1,8,7
bar events tonight,0,0,3,10,7
harry pitter bar,0,0,6,13,7
tequila bar and grill,0,0,1,8,7
bars alpharetta,0,1,8.3,15.2,6.9
boos liquor,0,0,18.2,25.2,6.9
halloween themed bar,0,0,1.1,8,6.9
events at bars,0,0,1,7.8,6.8
harry potter bar crawl,63,3,4.4,11.1,6.7
bar hop vs bar crawl,0,0,1,7.7,6.7
halloween bar hopping,0,1,5.1,11.8,6.7
halloween gainesville,0,0,11.3,18,6.7
bar crowd,0,0,1,7.6,6.6
boozy halloween drinks,0,0,1,7.6,6.6
margarita festival,0,0,1,7.6,6.6
soulard bar crawl,120,70,1.8,8.3,6.5
birmingham bar crawl,62,28,3.7,10.2,6.5
greenville sc bar crawl,8,12,1.7,8.2,6.5
booze brunch,0,0,5,11.5,6.5
erie bar crawl,0,0,10.5,17,6.5
golf bar crawl,0,0,2,8.5,6.5
mas tequila soulard,0,0,16.9,23.4,6.5
the crawl bar,0,0,2.3,8.8,6.5
themed bar crawl ideas,0,0,13.5,19.9,6.5
"atlanta bar tours, local business",0,0,4.3,10.8,6.4
what is the point of bar hopping,0,0,1.2,7.7,6.4
columbia tequila,0,0,1,7.3,6.3
taco and margarita festival,0,0,1,7.3,6.3
bar crawls near me,13,22,9.2,15.4,6.2
ugly sweater crawl bar crawl,0,0,6.5,12.7,6.2
why is it called a bar crawl,0,0,1,7.2,6.2
sarasota bar crawl,32,27,6.2,12.4,6.1
pub crawl portland maine,6,10,8.1,14.2,6.1
bar crawl saturday,0,0,4.7,10.8,6.1
bar crawl themes for adults,0,0,4.9,11,6.1
bar halloween ideas,0,0,8.7,14.8,6.1
knoxville halloween,0,0,18.4,24.5,6.1
tacos and tequila bar crawl,27,280,4.1,10.1,6.0
bar crawl key west,0,0,1,7,6
bar halloween parties near me,0,0,2,8,6
bars around me,0,0,3,9,6
best halloween costumes,0,0,1,7,6
costume contest near me,0,0,3,9,6
crawlwithus,0,0,8,14.0,6.0
halloween costumes for bar crawl,0,0,5,11,6
more ideas,0,0,3,9,6
salisbury bar crawl,0,0,9,15,6
tequila town greenville,0,0,12.4,18.3,6.0
bar crawl downtown,0,0,13.8,19.7,5.9
columbia sc bar,0,0,18.3,24.2,5.9
lost and found greenville,0,0,18.1,24,5.9
cleveland bar crawl,37,30,4.1,9.9,5.8
halloween bar crawl near me,3,1,3.5,9.2,5.8
bar crawl live!,0,0,7.4,13.2,5.8
bars in alpharetta downtown,0,0,11.9,17.7,5.8
pub-crawl,0,0,10.9,16.7,5.8
st patrick's day bar crawl 2026,0,6,3,8.8,5.8
bar crawls meaning,0,0,1,6.7,5.7
downtown bars,0,0,4,9.7,5.7
spooky bars near me,0,0,1,6.7,5.7
what is pubcrawl,0,0,1,6.7,5.7
bar crawl themes,7,2,11.1,16.7,5.6
atlanta taco and tequila festival,0,0,1,6.6,5.6
bar,0,0,5.2,10.8,5.6
bars near me now,0,0,2,7.5,5.5
bars nearby,0,0,5,10.5,5.5
club hopping latest,0,0,9.5,15,5.5
pub crawl company,0,0,6,11.5,5.5
pub croll,0,0,1,6.5,5.5
senior bar crawl,0,0,14.7,20.2,5.5
tacos and margarita festival,0,0,1,6.5,5.5
bar crawl def,0,0,1,6.4,5.4
halloween costume bar,0,0,6.4,11.8,5.4
pattaya bar crawl,0,0,3,8.3,5.3
tacos and margaritas festival,0,0,2.7,8.0,5.3
brunch crawl,26,19,4.3,9.4,5.2
st paddys day crawl,0,0,3,8.2,5.2
taco walk,0,1,1,6.1,5.1
crawl bar meaning,0,1,1.9,6.9,5.0
downtown gainesville ga bars,0,0,7.3,12.3,5.0
