query,winB_clicks,winB_impr,winB_pos
nice bar near me,1,4,8.2
onsie pub crawl,1,9,4.1
paddy hard bar crawl,1,6,5
pool bars near me,1,4,8.2
pub crawl sarasota,1,26,1.8
pub crawl st patrick's day,1,193,19.1
pub crawl synonym,1,2,1
roswell st patrick's day,1,13,1.6
saint patrick's day bar crawl 2026,1,30,8.0
saint patrick's day bars,1,1,8
sarasota events,1,1,2
smedley's bar and grill upcoming events,1,4,10.8
sports bars chattanooga tn,1,2,2.5
st paddys day 2026 bar crawl,1,36,8.2
st patrick's day bar crawls,1,29,17
st patrick's day events in sarasota,1,33,9.6
st patrick's day greenville sc,1,99,12.1
st patrick's day pub crawl near me,1,1,1
st patrick's pub crawl,1,159,16.0
st patricks day greenville,1,61,9.1
st patricks day in sarasota,1,26,8.2
st patricks day pub crawl 2026,1,103,5.3
st patricks day roswell,1,16,2.1
st patty's day sarasota fl,1,39,7.3
st pattys bar crawl 2026,1,163,7.8
st pattys day bar crawl 2026,1,35,8.4
st. louis gay bars,1,1,8
st.patricks day bar crawl,1,3,4.3
taco and tequila festival 2026 chattanooga tn,1,9,1.6
taco crawl 2026,1,59,4.5
taco fest birmingham 2026,1,2,6
taco festivals,1,11,7
taco n tequila festival,1,8,8.8
tacos and tequila chattanooga 2026,1,49,1.9
tacos and tequila cincinnati 2026,1,92,6.3
"tacos and tequila greenville, sc",1,27,6.4
tacos and tequila june 6th,1,1,2
tequila and tacos festival 2026,1,2,3.5
tequila fest birmingham,1,9,8.6
tequila festival 2026,1,19,4.2
tequila tasting near me,1,36,5.2
the hub st pete,1,1,5
the shamrock irish pub eatery upcoming events,1,1,5
things happening saturday near me,1,1,1
things to do birmingham al,1,1,2
"things to do in birmingham, al this weekend for adults",1,1,1
things to do in soulard,1,18,2.2
things to do in st pete today,1,1,5
ticketed,1,1,3
twcos and tequila,1,4,4.8
valentine cocktails,1,5,65
valentines day bar crawl,1,15,9.9
website,1,1,2
west park st patrick's day,1,7,1.1
"westside food, booze & brews fest",1,2,5.5
what date is it for 2026,1,1,1
what is a boozy brunch,1,4,3.8
zombie crawl 2026,1,4,5
