Company Name,CONTACT IN HUBSPOT,Company domain name,Industry,Franchise Type,Estimated Locations,Lead Status,Lifecycle Stage,Lead Source,Priority,Owner,Target Service,harvest_lane
College HUNKS Hauling Junk & Moving,,collegehunkshaulingjunk.com,Moving / Junk Removal,Home Services,100+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC,probe
Two Men and a Truck,,twomenandatruck.com,Moving,Home Services,300+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC,skip_known_js_shell
All My Sons Moving & Storage,,allmysons.com,Moving,Home Services,50+,New,Lead,Franchise Outreach,B,Jason Fallon,SEO / GBP / PPC,probe
UNITS Moving and Portable Storage,,unitsstorage.com,Moving / Storage,Home Services,50+,New,Lead,Franchise Outreach,B,Jason Fallon,SEO / GBP / PPC,probe
PODS,,pods.com,Moving / Storage,Home Services,100+,New,Lead,Franchise Outreach,B,Jason Fallon,SEO / PPC,skip_known_js_shell
Griswold Home Care,,griswoldcare.com,Senior Care,Healthcare Services,100+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC / Web,probe
Visiting Angels,,visitingangels.com,Senior Care,Healthcare Services,500+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC / Web,skip_known_js_shell
Right at Home,,rightathome.net,Senior Care,Healthcare Services,500+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC / Web,probe
Home Instead,,homeinstead.com,Senior Care,Healthcare Services,500+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC / Web,probe
HomeWell Care Services,,homewellcares.com,Senior Care,Healthcare Services,100+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC / Web,probe
Senior Helpers,,seniorhelpers.com,Senior Care,Healthcare Services,300+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC / Web,skip_known_js_shell
Comfort Keepers,,comfortkeepers.com,Senior Care,Healthcare Services,500+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC / Web,probe
Assisting Hands Home Care,,assistinghands.com,Senior Care,Healthcare Services,100+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC / Web,probe
Amada Senior Care,,amadaseniorcare.com,Senior Care,Healthcare Services,100+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC / Web,skip_known_js_shell
Nurse Next Door,,nursenextdoor.com,Senior Care,Healthcare Services,100+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC / Web,probe
ComForCare,,comforcare.com,Senior Care,Healthcare Services,200+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC / Web,probe
Home Helpers Home Care,,homehelpershomecare.com,Senior Care,Healthcare Services,300+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC / Web,probe
FirstLight Home Care,,firstlighthomecare.com,Senior Care,Healthcare Services,100+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC / Web,probe
BrightStar Care,,brightstarcare.com,Home Care / Medical Staffing,Healthcare Services,300+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC / Web,probe
